Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
mandera,ke,3.94,41.87,99.01,26.0,90.0,10.65
hervey bay,au,-25.3,152.85,76.06,84.0,82.0,6.78
kisesa,tz,-3.08,34.15,71.6,82.0,100.0,7.05
ngukurr,au,,,,,,
port hardy,ca,50.7,-127.42,40.64,98.0,100.0,1.39
boksitogorsk,ru,59.47,33.85,28.99,92.0,100.0,1.01
severo-yeniseyskiy,ru,60.37,93.04,26.67,90.0,100.0,15.79
salgar,co,5.96,-75.97,59.0,97.0,80.0,2.71
jablanica,bg,,,,,,
benguela,ao,-12.58,13.41,79.93,72.0,44.0,9.44
victoria,sc,-4.62,55.45,86.0,79.0,40.0,5.82
honolulu,us,21.31,-157.86,71.01,77.0,3.0,3.58
kungalv,se,57.87,11.98,45.0,80.0,57.0,5.01
pauini,br,-7.71,-66.98,83.28,68.0,100.0,1.57
piacabucu,br,-10.41,-36.43,86.58,62.0,54.0,11.92
rocha,uy,-34.48,-54.33,86.9,36.0,100.0,15.26
singapore,sg,1.29,103.85,82.0,74.0,16.0,8.01
savinskiy,ru,62.93,40.14,15.39,94.0,86.0,6.29
gunjur,gm,13.2,-16.73,106.02,6.0,85.0,11.79
rockport,us,28.02,-97.05,64.99,77.0,90.0,8.05
luanda,ao,-8.84,13.23,86.0,70.0,40.0,11.41
kampong chhnang,kh,12.17,104.55,77.94,69.0,96.0,10.49
conceicao do araguaia,br,-8.26,-49.26,88.84,61.0,76.0,7.61
barra patuca,hn,15.8,-84.28,77.83,59.0,67.0,9.06
betioky,mg,-23.72,44.38,90.23,39.0,57.0,5.68
warqla,dz,,,,,,
lavrentiya,ru,65.58,-171.0,-15.79,78.0,0.0,2.91
naberera,tz,-4.2,36.93,71.47,83.0,100.0,4.47
college,us,64.86,-147.8,-4.0,86.0,100.0,3.13
griffith,au,-34.28,146.03,70.38,33.0,0.0,5.08
akyab,mm,20.15,92.9,69.06,62.0,0.0,15.93
juneau,us,58.3,-134.42,34.0,87.0,94.0,6.91
umzimvubu,za,,,,,,
taoudenni,ml,22.68,-3.98,92.34,12.0,84.0,2.91
guanhaes,br,-18.77,-42.93,70.03,96.0,100.0,7.43
tuatapere,nz,-46.13,167.68,57.0,86.0,29.0,2.84
katsuura,jp,35.13,140.3,48.0,55.0,100.0,3.0
sendafa,et,9.15,39.03,62.69,64.0,78.0,11.18
akot,in,21.1,77.06,75.58,29.0,3.0,9.19
lewistown,us,40.6,-77.57,39.99,100.0,90.0,4.7
salalah,om,17.02,54.09,74.23,83.0,59.0,4.27
alekseyevka,kz,,,,,,
ulaangom,mn,49.98,92.07,-1.95,89.0,100.0,3.33
husavik,is,66.04,-17.34,32.0,91.0,90.0,18.34
huancavelica,pe,-12.77,-74.98,37.02,91.0,100.0,2.98
faanui,pf,-16.48,-151.75,81.66,76.0,22.0,12.24
louis trichardt,za,-23.04,29.9,82.02,47.0,66.0,2.8
baykit,ru,61.67,96.37,20.53,96.0,100.0,5.12
ambon,id,-3.7,128.18,82.36,71.0,42.0,2.8
umm lajj,sa,25.02,37.27,62.02,13.0,0.0,20.22
gravdal,no,68.12,13.5,36.55,57.0,84.0,6.35
baiyin,cn,36.56,104.21,28.99,51.0,80.0,1.99
chihuahua,mx,28.5,-106.0,48.99,58.0,100.0,4.29
mandalgovi,mn,45.76,106.27,9.45,73.0,0.0,10.74
yar-sale,ru,66.83,70.83,-2.13,98.0,82.0,5.26
bur gabo,so,,,,,,
labuan,my,5.28,115.24,82.0,83.0,0.0,1.99
ciudad bolivar,ve,8.12,-63.55,87.15,48.0,100.0,8.28
sabha,ly,27.04,14.43,70.43,12.0,99.0,8.23
bloemfontein,za,-29.12,26.21,82.4,39.0,75.0,10.29
